Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2025-09-18,150.96,158.77,149.85,157.92,84549500,0.0,0.0
2025-09-19,157.38,159.84,155.90,157.39,55448100,0.0,0.0
2025-09-22,157.42,162.68,157.42,159.79,46505500,0.0,0.0
2025-09-23,160.52,163.39,159.21,160.90,39448300,0.0,0.0
2025-09-24,162.98,165.10,158.43,160.88,38464100,0.0,0.0
2025-09-25,157.14,161.63,154.78,161.27,36809900,0.0,0.0
2025-09-26,160.52,162.11,157.05,159.46,30316900,0.0,0.0
2025-09-29,160.12,164.30,159.90,161.36,39828800,0.0,0.0
2025-09-30,160.79,162.28,159.33,161.79,29669300,0.0,0.0
2025-10-01,160.93,164.18,160.49,164.01,39895200,0.0,0.0
2025-10-02,168.68,171.06,166.12,169.73,55475200,0.0,0.0
2025-10-03,170.68,170.68,163.14,164.67,42699100,0.0,0.0
2025-10-06,226.45,226.71,203.01,203.71,248859600,0.0,0.0
2025-10-07,214.85,218.90,209.28,211.51,115748100,0.0,0.0
2025-10-08,212.95,235.87,210.70,235.56,159983500,0.0,0.0
2025-10-09,236.30,240.10,229.53,232.89,94290700,0.0,0.0
2025-10-10,232.77,234.22,213.20,214.90,118656600,0.0,0.0
2025-10-13,220.20,224.19,214.90,216.42,63104000,0.0,0.0
2025-10-14,219.20,224.98,215.90,218.09,71216300,0.0,0.0
2025-10-15,222.71,239.24,220.76,238.60,108481000,0.0,0.0
2025-10-16,236.29,241.20,232.24,234.56,69726400,0.0,0.0
2025-10-17,233.26,235.38,227.91,233.08,55706800,0.0,0.0